26901;-791447;-1034224
27001;-796662;-1029023
27002;-799403;-1029050
27004;-800159;-1026167
27006;-794610;-1021560
27007;-791915;-1024203
27008;-788817;-1025048
27009;-790166;-1026558
27021;-790747;-1040322
27023;-783534;-1044078
27024;-779043;-1043944
27031;-798030;-1034094
27032;-804205;-1031494
27033;-809011;-1032960
27034;-804212;-1040380
27035;-798490;-1038572
27036;-793844;-1037337
27041;-793235;-1046599
27042;-791405;-1049820
27051;-788127;-1031986
27052;-789737;-1029654
27053;-787235;-1027215
27054;-783952;-1024323
27055;-785023;-1021386
27061;-775826;-1034091
27062;-777094;-1032607
27064;-777594;-1026230
27065;-778656;-1022555
27101;-779629;-1030164
27201;-763150;-1033270
27203;-764316;-1033346
27204;-765766;-1033454
27301;-771205;-1036193
27302;-772172;-1033238
27303;-774825;-1032120
27304;-773670;-1030744
27305;-768248;-1027916
27306;-767173;-1030040
27307;-764898;-1030427
27308;-763374;-1028539
27309;-762962;-1031547
27321;-758331;-1019593
27322;-757438;-1016281
27323;-755587;-1018210
27324;-752731;-1019091
27325;-758117;-1025077
27326;-754571;-1024860
27327;-751563;-1027915
27328;-753330;-1028843
27329;-754785;-1028949
27341;-759631;-1029290
27342;-757087;-1031088
27343;-758196;-1033380
27345;-760607;-1035155
27351;-764382;-1040512
27353;-757735;-1037750
27354;-757541;-1034718
27361;-767018;-1037121
27362;-768991;-1037859
27363;-771413;-1041059
27364;-768985;-1035740
27371;-763032;-1017561
27372;-764723;-1013388
27373;-766271;-1012198
27374;-772215;-1017144
27375;-769697;-1019640
27376;-774981;-1021123
27377;-772312;-1025198
27378;-771282;-1023633
27379;-768071;-1023477
27401;-764156;-1023753
27601;-734588;-1013741
27701;-736524;-1010126
27703;-739510;-1005942
27704;-740048;-1011506
27705;-743948;-1014610
27706;-740701;-1016941
27707;-743915;-1016776
27708;-747930;-1013938
27711;-734239;-1023608
27713;-728764;-1029232
27714;-724872;-1027565
27715;-730421;-1025143
27716;-728151;-1022929
27721;-732817;-1004534
27723;-727130;-1006008
27724;-730186;-1008409
27731;-748084;-1020616
27732;-726308;-1020250
27733;-723588;-1014063
27734;-727038;-1011792
27735;-722112;-1006211
27736;-719895;-1004212
27737;-721746;-1011090
27738;-720207;-1016654
27741;-732801;-1019579
27742;-735820;-1020705
27743;-737753;-1021095
27744;-743399;-1020422
27745;-736628;-1024144
27746;-746618;-1021989
27751;-748798;-1022036
27752;-747005;-1018126
27801;-748260;-1025474
28002;-689190;-1056345
28101;-693905;-1052415
28102;-696982;-1050838
28103;-701613;-1050300
28104;-700204;-1052892
28106;-708943;-1054162
28107;-700024;-1058231
28121;-688487;-1062454
28123;-681920;-1059700
28125;-682500;-1056010
28126;-674978;-1052814
28127;-675856;-1053936
28128;-675223;-1049959
28129;-673488;-1047036
28130;-680550;-1050054
28141;-692292;-1062564
28143;-697871;-1064647
28144;-700435;-1063600
28146;-707275;-1066865
28151;-688026;-1048973
28161;-704718;-1057738
28162;-709345;-1060508
28163;-712688;-1061443
28166;-717220;-1059328
28167;-715435;-1068001
28171;-716041;-1048113
28201;-713214;-1049859
28401;-685023;-1066670
28403;-683822;-1065311
28404;-684112;-1063208
28501;-689210;-1065960
28502;-691841;-1064914
28504;-700105;-1072769
28506;-710149;-1073199
28507;-708362;-1075189
28509;-704010;-1083242
28510;-698313;-1080328
28511;-694112;-1072664
28521;-692629;-1080586
28522;-697741;-1085063
28523;-694360;-1089389
28525;-690129;-1084413
28531;-680119;-1064602
28532;-682287;-1062386
28533;-679753;-1066964
28541;-688440;-1070548
28542;-687303;-1078703
28543;-683710;-1078513
28544;-682564;-1075366
28545;-681231;-1071236
28546;-684616;-1072428
28547;-685614;-1070786
28561;-669767;-1074729
28562;-671878;-1077713
28563;-675660;-1076316
28564;-676999;-1083158
28565;-680500;-1082142
28571;-670901;-1070540
28572;-668968;-1068207
28573;-672445;-1062364
28574;-677783;-1058534
28575;-674458;-1065198
28576;-675657;-1067470
28601;-677421;-1074574
28802;-697464;-1036846
28901;-684903;-1033803
28902;-674983;-1031551
28903;-678375;-1037351
28904;-683436;-1041056
28905;-680654;-1045033
28906;-683730;-1046742
28907;-687020;-1045495
28908;-675885;-1040710
28911;-699724;-1048195
28912;-703439;-1042167
28913;-699324;-1041297
28914;-707498;-1045226
28915;-712523;-1044092
28916;-712696;-1038990
28917;-709635;-1038804
28921;-703285;-1037426
28922;-710871;-1035128
28923;-708536;-1031772
28924;-708046;-1031996
28925;-702597;-1032477
28926;-713996;-1031427
28931;-695080;-1035004
28932;-693565;-1031440
28933;-689851;-1030268
28934;-686542;-1026427
28935;-688680;-1023897
28936;-693494;-1026135
28937;-697628;-1027178
28941;-691083;-1049148
29001;-692017;-1042939
29301;-703221;-1010899
29306;-703337;-1007638
29307;-705035;-1007295
29401;-700820;-1004783
29402;-692155;-1004698
29403;-690446;-1008331
29404;-688731;-1011178
29405;-693228;-1012310
29406;-695362;-1013087
29411;-691170;-997738
29412;-688990;-1000034
29413;-697498;-993627
29414;-698720;-996503
29415;-699384;-999531
29421;-712126;-1000553
29423;-707853;-1004415
29424;-715223;-1003460
29425;-710234;-1001780
29426;-714680;-1009256
29427;-715566;-1013976
29428;-712193;-1019092
29429;-712646;-1015639
29430;-710805;-1012266
29431;-707015;-1016134
29441;-700461;-1017337
29442;-702600;-1022384
29443;-702745;-1027887
29445;-697460;-1023034
29446;-696457;-1017747
29447;-692215;-1019933
29448;-690016;-1014636
29471;-710953;-1024233
29473;-708072;-1020275
29474;-716761;-1029136
29475;-716770;-1031635
29476;-721119;-1026594
29477;-717579;-1023636
29478;-717473;-1021652
29479;-717877;-1019814
29501;-697805;-999605
30100;-823149;-1071452
31200;-818728;-1069382
31800;-826284;-1069405
32100;-824753;-1074115
32200;-826698;-1067963
32300;-822517;-1066967
32600;-820594;-1072711
33001;-814565;-1070235
33002;-813227;-1067581
33003;-813213;-1065604
33005;-813661;-1055603
33007;-816503;-1064976
33008;-818260;-1064180
33011;-819267;-1061296
33012;-821904;-1059015
33013;-824499;-1056314
33014;-824659;-1061014
33016;-830924;-1056658
33017;-825906;-1064051
33021;-831383;-1073934
33022;-834393;-1075638
33023;-836699;-1071496
33024;-834230;-1068712
33025;-838658;-1070330
33026;-832737;-1070811
33027;-829502;-1070420
33032;-831838;-1066175
33033;-835960;-1063694
33035;-834782;-1059616
33036;-841053;-1057147
33038;-837453;-1049967
33041;-842541;-1041221
33101;-819946;-1048473
33141;-810184;-1046059
33144;-806695;-1044352
33151;-816638;-1054083
33152;-827475;-1052869
33162;-830341;-1041104
33163;-836198;-1043470
33165;-818661;-1035556
33201;-812447;-1076336
33202;-816172;-1076578
33203;-814584;-1078970
33204;-815406;-1081184
33205;-817121;-1082251
33207;-818892;-1085494
33209;-822266;-1079922
33211;-842570;-1079252
33214;-836372;-1078042
33301;-840780;-1079077
33401;-829523;-1087906
33441;-829956;-1078572
33442;-828915;-1081636
33443;-832859;-1084153
33444;-827214;-1085342
33452;-839400;-1088495
33453;-835095;-1091267
33454;-830178;-1091109
33455;-825391;-1093545
33501;-811677;-1100402
33503;-810156;-1099672
33541;-809118;-1098632
33543;-802762;-1097713
33544;-802001;-1105277
33546;-806404;-1106989
33547;-809825;-1106780
33551;-815105;-1096443
33554;-818795;-1099947
33555;-817622;-1104893
33561;-802082;-1087091
33563;-802224;-1085946
33564;-803970;-1095750
33601;-814618;-1090781
33701;-805958;-1072427
33801;-799388;-1070046
33805;-795587;-1068934
33806;-793055;-1070254
33808;-795143;-1058260
33821;-806696;-1068628
33822;-802910;-1071230
33824;-807887;-1062751
33828;-803574;-1060403
33841;-810780;-1070781
33842;-803646;-1076367
33843;-803430;-1080425
33844;-800878;-1076501
33845;-795113;-1074827
33901;-834335;-1108327
34004;-843161;-1134578
34012;-830555;-1098223
34021;-840063;-1114157
34022;-845433;-1123569
34034;-820923;-1110012
34101;-809123;-1116328
34142;-826649;-1119600
34192;-821803;-1139974
34201;-819040;-1129013
34401;-861420;-1099090
34501;-858498;-1103003
34502;-855094;-1103468
34506;-851138;-1106728
34507;-831361;-1057732
34509;-846679;-1111438
34521;-861993;-1090780
34522;-868421;-1089741
34525;-869508;-1083595
34526;-873195;-1079847
34532;-865946;-1105489
34533;-866584;-1099866
34534;-867960;-1097796
34535;-868063;-1095005
34543;-845992;-1096152
34545;-854331;-1092616
34561;-847598;-1089086
34562;-846104;-1083713
34601;-858625;-1087352
34701;-875447;-1055856
34801;-872366;-1060915
34802;-864757;-1068667
34806;-876078;-1070131
34813;-860472;-1045384
34815;-866777;-1050863
34901;-849327;-1065236
34952;-850680;-1055469
34953;-848586;-1047670
34958;-856367;-1056699
34961;-850722;-1069026
34972;-843835;-1057940
35002;-887428;-1022481
35101;-888788;-1016633
35124;-897908;-995574
35131;-897008;-1014905
35132;-893561;-1012304
35134;-884612;-1008079
35135;-887091;-1006543
35137;-882402;-1003319
35201;-897627;-1004063
35301;-867768;-1038506
35491;-871213;-1032408
35493;-876397;-1030741
35601;-866497;-1013669
35604;-867124;-1015856
35701;-870636;-999421
35703;-868343;-1012109
35707;-871894;-1005131
35708;-873109;-1008537
35709;-873356;-1011979
35731;-856890;-1021188
35733;-858933;-1014705
35734;-859842;-1012181
35735;-859509;-1008869
35751;-875971;-1019098
35755;-872167;-1014922
35801;-872688;-995357
36001;-850076;-1012526
36002;-847392;-1010527
36004;-849287;-1010092
36005;-851329;-1010445
36006;-835906;-1015245
36007;-853480;-1012748
36010;-851329;-1010445
36017;-851871;-1008455
36018;-854449;-1012055
36221;-859260;-997291
36222;-858404;-999350
36225;-856675;-1001819
36233;-848910;-1003546
36234;-848873;-1000236
36235;-852917;-992821
36236;-853822;-995211
36251;-844154;-997395
36263;-847999;-1009417
36272;-841489;-1011412
36273;-838561;-1004653
36301;-843443;-1001562
36401;-846304;-1031783
36452;-832238;-1030369
36453;-824785;-1027117
36461;-854963;-1039026
36464;-851365;-1012079
36471;-841778;-1020314
37001;-756200;-1166530
37004;-755211;-1165537
37005;-757092;-1163552
37006;-750613;-1170028
37007;-755212;-1172947
37008;-753103;-1169838
37010;-752847;-1162203
37011;-757092;-1163552
37301;-762869;-1141268
37302;-759697;-1137568
37304;-757240;-1129880
37311;-746269;-1172413
37312;-744399;-1176282
37314;-752814;-1177962
37315;-752390;-1172083
37316;-751813;-1168547
37321;-748257;-1187017
37322;-753814;-1183987
37323;-755613;-1183080
37324;-757034;-1179836
37331;-740976;-1183323
37332;-737561;-1176933
37333;-738941;-1190623
37335;-740583;-1192330
37336;-744385;-1192202
37341;-758555;-1156330
37343;-755238;-1147770
37344;-762190;-1154727
37346;-764835;-1156909
37347;-767062;-1150549
37348;-765900;-1151867
37349;-762722;-1152287
37350;-761826;-1150448
37351;-764423;-1146197
37361;-754707;-1160853
37362;-751006;-1155950
37363;-747372;-1153755
37364;-741543;-1150102
37365;-745048;-1146402
37366;-749770;-1141262
37367;-753171;-1161038
37371;-750242;-1164610
37372;-744642;-1162124
37373;-741064;-1167286
37381;-759023;-1174364
37382;-759242;-1173024
37384;-766044;-1165069
37401;-745736;-1184077
37501;-756376;-1137326
37701;-715102;-1152666
37801;-718712;-1160021
37802;-721802;-1159959
37803;-727954;-1171451
37804;-723007;-1170597
37805;-725984;-1178811
37806;-726464;-1177553
